	#JCAT	Satcat	Piece	Type	Name	PLName	LDate	Parent	SDate	Primary	DDate	Status	Dest	Owner	State	Manufacturer	Bus	Motor	Mass	MassFlag	DryMass	DryFlag	TotMass	TotFlag	Length	LFlag	Diameter	DFlag	Span	SpanFlag	Shape	ODate	Perigee	PF	Apogee	AF	Inc	IF	OpOrbit	OQUAL	AltNames
16114	S16115	16115	1985-092A	PH H-S      	Atlantis (STS 51-J)	OV-104	1985-10-03	A04180	1985 Oct  3 1524	Earth	1985 Oct  7 1700	L	EAFB RW23	JSC	US	RWI	STS OV	-	   93123 	?	  85030 	?	  113000 	?	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	1985 Oct  5	     476	 	     515	 	 28.52 	 	LLEO/I	-	-
16229	S16230	16230	1985-104A	PH H-S      	Challenger (STS 61-A)	OV-099	1985-10-30	A04202	1985 Oct 30 1708	Earth	1985 Nov  6 1744	L	EAFB RW17	JSC	US	RWI	STS OV	-	   88535 	 	  82423 	 	  103326 	 	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	1985 Nov  1	     322	 	     332	 	 56.98 	 	LLEO/I	-	-
16272	S16273	16273	1985-109A	PH H-S      	Atlantis (STS 61-B)	OV-104	1985-11-27	A04214	1985 Nov 27 0037	Earth	1985 Dec  3 2133	L	EAFB RW22	JSC	US	RWI	STS OV	-	   94126 	 	  86160 	 	  113777 	 	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	1985 Nov 29	     368	 	     381	 	 28.47 	 	LLEO/I	-	-
16276	S16277	16277	1985-109E	P ---S-     	OET	OEX Target	1985-11-27	S16273  AL   	1985 Nov 30 0225	Earth	1985 Nov 30 0225	ATT	A04229	JSC	US	JSC	OEX Target	-	      35 	 	     35 	 	      35 	 	   1.0 	 	  1.0 	 	    1.0 	 	Irr	1986 Feb 23	     360	 	     371	 	 28.47 	 	LLEO/I	-	AAPS
16480	S16481	16481	1986-003A	PH H-S      	Columbia (STS 61-C)	OV-102	1986-01-12	A04243	1986 Jan 12 1203	Earth	1986 Jan 18 1358	L	EAFB RW22	JSC	US	RWI	STS OV	-	   95246 	 	  87874 	 	  108301 	 	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	1986 Jan 14	     323	 	     346	 	 28.47 	 	LLEO/I	-	-
19546	S19547	19547	1988-091A	PH H-S      	Discovery (STS-26R)	OV-103	1988-09-29	A04591	1988 Sep 29 1545	Earth	1988 Oct  3 1637	L	EAFB RW17	JSC	US	RWI	STS OV	-	   90382 	 	  85183 	 	  110294 	 	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	1988 Oct  1	     302	 	     331	 	 28.47 	 	LLEO/I	-	-
19547	S19548	19548	1988-091B	P ---S-     	TDRS 3	TDRS C	1988-09-29	S19550	1988 Sep 29 0444	Earth	-	O	-	GSFC	US	TRW	TDRS	AOCS	    2103 	 	   1673 	?	    2103 	 	   1.3 	 	  2.4 	 	   17.4 	 	Box + Dish + 2 Pan	1988 Oct 30	   35784	 	   35797	 	  0.01 	 	GEO/S	-	-
19669	S19670	19670	1988-106A	PH H-S      	Atlantis (STS-27)	OV-104	1988-12-02	A04612	1988 Dec  2 1439	Earth	1988 Dec  6 2336	L	EAFB RW17	JSC	US	RWI	STS OV	-	   92627 	?	  85743 	 	  108500 	?	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	1988 Dec  5	     443	 	     454	 	 56.99 	 	LLEO/I	-	-
19881	S19882	19882	1989-021A	PH H-S      	Discovery (STS-29)	OV-103	1989-03-13	A04648	1989 Mar 13 1505	Earth	1989 Mar 18 1435	L	EAFB RW22	JSC	US	RWI	STS OV	-	   90793 	 	  85113 	 	  111107 	 	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	1989 Mar 15	     301	 	     333	 	 28.46 	 	LLEO/I	-	-
19882	S19883	19883	1989-021B	P ---S-     	TDRS 4	TDRS D	1989-03-13	S19913	1989 Mar 14 0405	Earth	-	O	-	GSFC	US	TRW	TDRS	AOCS	    2245 	 	   1673 	?	    2245 	 	   1.3 	 	  2.4 	 	   17.4 	 	Box + Dish + 2 Pan	1989 Apr 15	   35776	 	   35788	 	  0.22 	 	GEO/S	-	-
19967	S19968	19968	1989-033A	PH H-S      	Atlantis (STS-30)	OV-104	1989-05-04	A04670	1989 May  4 1855	Earth	1989 May  8 1943	L	EAFB RW22	JSC	US	RWI	STS OV	-	   90183 	 	  88043 	 	  111153 	 	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	1989 May  6	     296	 	     332	 	 28.89 	 	LLEO/I	-	-
19968	S19969	19969	1989-033B	P --DS-     	Magellan	Magellan	1989-05-04	S19971	1989 May  5 0227	Earth	1989 May  5 0756?	DSO	D00677	JPL	US	MMD	MGN	MR-104	    1207 	 	   1035 	 	    3348 	 	   4.6 	 	  3.7 	 	    9.2 	 	Box + Dish + 2 Pan	1989 May  5	     300	 	  -34312	 	 28.89 	 	EEO	-	-
20163	S20164	20164	1989-061A	PH H-S      	Columbia (STS-28R)	OV-102	1989-08-08	A04709	1989 Aug  8 1245	Earth	1989 Aug 13 1337	L	EAFB RW17	JSC	US	RWI	STS OV	-	   95012 	?	  89205 	 	  107000 	?	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	1989 Aug 10	     294	 	     308	 	 57.00 	 	LLEO/I	-	-
20296	S20297	20297	1989-084A	PH H-S      	Atlantis (STS-34)	OV-104	1989-10-18	A04740	1989 Oct 18 1702	Earth	1989 Oct 23 1633	L	EAFB RW23	JSC	US	RWI	STS OV	-	   90933 	 	  85494 	 	  111705 	 	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	1989 Oct 20	     299	 	     333	 	 34.32 	 	LLEO/I	-	-
20297	S20298	20298	1989-084B	P --DS-     	Galileo	Galileo	1989-10-18	S20300	1989 Oct 19 0107	Earth	1989 Oct 19 0821?	DSO	D00680	JPL	US	JPL	Galileo	S400	    2304 	 	   1297 	 	    2304 	 	   5.3 	 	  5.0 	 	   12.0 	 	Cyl + Dish + 2 Ant	1989 Oct 18	     438	 	  -64884	 	 33.95 	 	EEO	-	-
20321	S20322	20322	1989-089A	P           	COBE	COBE	1989-11-18	S20323	1989 Nov 18 1535	Earth	-	O	-	GSFC	US	GSFC	COBE	-	    2206 	 	   2206 	 	    2206 	 	   4.9 	 	  2.2 	 	    8.4 	 	Hex Cyl + 2 Pan	1989 Dec 19	     886	 	     896	 	 99.02 	 	LEO/S	-	-
20328	S20329	20329	1989-090A	PH H-S      	Discovery (STS-33R)	OV-103	1989-11-23	A04759	1989 Nov 23 0032	Earth	1989 Nov 28 0030	L	EAFB RW04	JSC	US	RWI	STS OV	-	   92293 	?	  84577 	 	  113400 	?	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	1989 Nov 25	     237	 	     558	 	 28.46 	 	LLEO/I	-	-
20408	S20409	20409	1990-002A	PH H-S      	Columbia (STS-32)	OV-102	1990-01-09	A04772	1990 Jan  9 1243	Earth	1990 Jan 20 0935	L	EAFB RW22	JSC	US	RWI	STS OV	-	  102454 	 	  92337 	 	  110929 	 	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	1990 Jan 11	     319	 	     337	 	 28.50 	 	LLEO/I	-	-
20511	S20512	20512	1990-019A	PH H-S      	Atlantis (STS-36)	OV-104	1990-02-28	A04794	1990 Feb 28 0758	Earth	1990 Mar  4 1808	L	EAFB RW23	JSC	US	RWI	STS OV	-	   92359 	?	  84571 	 	  109600 	?	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	1990 Mar  2	     238	 	     241	 	 61.98 	 	LLEO/I	-	-
20545	S20546	20546	1990-028A	P A         	Pegsat	Pegsat	1990-04-05	A04808	1990 Apr  5 1919	Earth	1998 Nov 14	AR	-	GSFC	US	GSFC	Pegsat	-	     160 	 	    160 	 	     406 	?	   0.8 	 	  1.1 	 	    1.1 	 	Cyl + 2 Canted Cyl	1990 May  6	     460	 	     675	 	 94.12 	 	LLEO/P	-	-
20578	S20579	20579	1990-037A	PH H-S      	Discovery (STS-31)	OV-103	1990-04-24	A04813	1990 Apr 24 1242	Earth	1990 Apr 29 1349	L	EAFB RW22	JSC	US	RWI	STS OV	-	   93024 	 	  84568 	 	  105081 	 	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	1990 Apr 26	     614	 	     618	 	 28.48 	 	LEO/I	-	-
20579	S20580	20580	1990-037B	P ---S-     	Hubble Space Telescope	Hubble Space Telescope	1990-04-24	S20579  2-11 	1990 Apr 25 1249?	Earth	1990 Apr 25 1249?	ATT	A04833	GSFC	US	LMSC	HST	-	    7547 	 	   7547 	 	   10843 	 	  13.1 	 	  4.3 	 	   13.1 	 	Step Cyl + 2 Pan	1990 May 24	     611	 	     620	 	 28.47 	 	LEO/I	-	NAIF048
20840	S20841	20841	1990-090A	PH H-S      	Discovery (STS-41)	OV-103	1990-10-06	A04880	1990 Oct  6 1155	Earth	1990 Oct 10 1357	L	EAFB RW22	JSC	US	RWI	STS OV	-	   91268 	 	  85527 	 	  112549 	 	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	1990 Oct  8	     283	 	     302	 	 28.47 	 	LLEO/I	-	-
20934	S20935	20935	1990-097A	PH H-S      	Atlantis (STS-38)	OV-104	1990-11-15	A04904	1990 Nov 15 2357	Earth	1990 Nov 20 2142	L	KSC RW33	JSC	US	RWI	STS OV	-	   92293 	 	  84297 	 	  107600 	?	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	1990 Nov 17	     260	 	     269	 	 28.47 	 	LLEO/I	-	-
20979	S20980	20980	1990-106A	PH H-S      	Columbia (STS-35)	OV-102	1990-12-02	A04924	1990 Dec  2 0657	Earth	1990 Dec 11 0554	L	EAFB RW22	JSC	US	RWI	STS OV	-	   98417 	 	  90187 	 	  110437 	 	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	1990 Dec  4	     346	 	     358	 	 28.47 	 	LLEO/I	-	-
21223	S21224	21224	1991-027A	PH H-S      	Atlantis (STS-37)	OV-104	1991-04-05	A04959	1991 Apr  5 1431	Earth	1991 Apr 11 1355	L	EAFB RW33	JSC	US	RWI	STS OV	-	   91847 	 	  84467 	 	  109229 	 	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	1991 Apr  7	     445	 	     458	 	 28.46 	 	LLEO/I	-	-
21224	S21225	21225	1991-027B	P ---S-     	Compton Observatory	Gamma Ray Observatory	1991-04-05	S21224  7-11 	1991 Apr  7 1157	Earth	1991 Apr  7 1157	ATT	A04973	GSFC	US	TRW	GRO	MRE-5 x8	   15622 	 	  13891 	 	   15622 	 	   7.6 	 	  4.6 	 	   21.3 	 	Box + 2 Pan	1991 May  5	     441	 	     455	 	 28.47 	 	LLEO/I	-	-
21241	S21242	21242	1991-031A	PH H-S      	Discovery (STS-39)	OV-103	1991-04-28	A04988	1991 Apr 28 1142	Earth	1991 May  6 1855	L	KSC RW15	JSC	US	RWI	STS OV	-	   96701 	 	  85723 	 	  107330 	 	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	1991 Apr 30	     247	 	     260	 	 57.00 	 	LLEO/I	-	-
21398	S21399	21399	1991-040A	PH H-S      	Columbia (STS-40)	OV-102	1991-06-05	A05009	1991 Jun  5 1333	Earth	1991 Jun 14 1539	L	EAFB RW22	JSC	US	RWI	STS OV	-	   95722 	 	  89081 	 	  109395 	 	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	1991 Jun  7	     278	 	     296	 	 39.01 	 	LLEO/I	-	-
21637	S21638	21638	1991-054A	PH H-S      	Atlantis (STS-43)	OV-104	1991-08-02	A05028	1991 Aug  2 1510	Earth	1991 Aug 11 1224	L	KSC RW15	JSC	US	RWI	STS OV	-	   91417 	 	  84930 	 	  112474 	 	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	1991 Aug  4	     299	 	     331	 	 28.47 	 	LLEO/I	-	-
21638	S21639	21639	1991-054B	P ---S-     	TDRS 5	TDRS-E	1991-08-02	S21641	1991 Aug  3 0408?	Earth	-	O	-	GSFC	US	TRW	TDRS	AOCS	    2534 	 	   1700 	?	    2534 	 	   1.3 	 	  2.4 	 	   17.4 	 	Box + Dish + 2 Pan	1991 Sep  6	   35779	 	   35787	 	  0.10 	 	GEO/S	-	-
21699	S21700	21700	1991-063A	PH H-S      	Discovery (STS-48)	OV-103	1991-09-12	A05040	1991 Sep 12 2320	Earth	1991 Sep 18 0738	L	EAFB RW22	JSC	US	RWI	STS OV	-	   93890 	 	  86191 	 	  101668 	 	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	1991 Sep 14	     563	 	     575	 	 56.98 	 	LLEO/I	-	-
21700	S21701	21701	1991-063B	P ---S-     	UARS	UARS	1991-09-12	A05041	1991 Sep 14 2313?	Earth	1991 Sep 14 2313?	ATT	A05043	GSFC	US	GEVF/FAIR	MMS	-	    6526 	 	   6323 	 	    6526 	 	  10.0 	 	  4.5 	 	   10.0 	 	Box + Box + Pan	1991 Oct 28	     573	 	     580	 	 56.98 	 	LLEO/I	-	-
21794	S21795	21795	1991-080A	PH H-S      	Atlantis (STS-44)	OV-104	1991-11-24	A05065	1991 Nov 24 2352	Earth	1991 Dec  1 2236	L	EAFB RW05R	JSC	US	RWI	STS OV	-	   92131 	 	  85472 	 	  112076 	 	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	1991 Nov 26	     361	 	     367	 	 28.46 	 	LLEO/I	-	-
21845	S21846	21846	1992-002A	PH H-S      	Discovery (STS-42)	OV-103	1992-01-22	A05096	1992 Jan 22 1501	Earth	1992 Jan 30 1608	L	EAFB RW22	JSC	US	RWI	STS OV	-	   91870 	 	  85820 	 	  105005 	 	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	1992 Jan 24	     292	 	     304	 	 56.97 	 	LLEO/I	-	-
21914	S21915	21915	1992-015A	PH H-S      	Atlantis (STS-45)	OV-104	1992-03-24	A05125	1992 Mar 24 1322	Earth	1992 Apr  2 1123	L	KSC RW33	JSC	US	RWI	STS OV	-	   93062 	 	  85578 	 	  100737 	 	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	1992 Mar 26	     291	 	     300	 	 57.00 	 	LLEO/I	-	-
21962	S21963	21963	1992-026A	PH H-S      	Endeavour (STS-49)	OV-105	1992-05-07	A05142	1992 May  7 2348	Earth	1992 May 16 2058	L	EAFB RW22	JSC	US	RWI	STS OV	-	   96115 	 	  86470 	 	  111587 	 	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	1992 May  9	     275	 	     350	 	 28.33 	 	LLEO/I	-	-
21986	S21987	21987	1992-031A	P           	EUVE	EUVE	1992-06-07	S21988	1992 Jun  7 1751	Earth	2002 Jan 31 0420?	R	28N 30.1E	GSFC	US	FAIR	MMS	-	    3280 	 	   3280 	 	    3280 	 	   4.0 	 	  2.1 	?	   10.0 	?	Box + Box + 2 Pan	1992 Jul 11	     514	 	     527	 	 28.43 	 	LLEO/I	-	-
21999	S22000	22000	1992-034A	PH H-S      	Columbia (STS-50)	OV-102	1992-06-25	A05177	1992 Jun 25 1620	Earth	1992 Jul  9 1142	L	KSC RW33	JSC	US	RWI	STS OV	-	   97961 	 	  85289 	 	  111539 	 	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	1992 Jun 27	     299	 	     304	 	 28.47 	 	LLEO/I	-	-
22011	S22012	22012	1992-038A	P           	SAMPEX	SAMPEX	1992-07-03	S22013	1992 Jul  3 1430	Earth	2012 Nov 13	R	-	GSFC	US	GSFC	SMEX	-	     158 	 	    158 	 	     158 	 	   1.5 	 	  0.9 	 	    3.0 	?	Box + 2 Pan	1992 Aug 11	     514	 	     690	 	 81.67 	 	LEO/I	-	-
22063	S22064	22064	1992-049A	PH H-S      	Atlantis (STS-46)	OV-104	1992-07-31	A05192	1992 Jul 31 1405	Earth	1992 Aug  8 1312	L	KSC RW33	JSC	US	RWI	STS OV	-	   96554 	 	  86410 	 	  109677 	 	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	1992 Aug  2	     421	 	     433	 	 28.47 	 	LLEO/I	-	-
22119	S22120	22120	1992-061A	PH H-S      	Endeavour (STS-47)	OV-105	1992-09-12	A05218	1992 Sep 12 1431	Earth	1992 Sep 20 1253	L	KSC RW33	JSC	US	RWI	STS OV	-	   92679 	 	  87025 	 	  105533 	 	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	1992 Sep 14	     298	 	     309	 	 57.00 	 	LLEO/I	-	-
22135	S22136	22136	1992-063A	P   D       	Mars Observer	Mars Observer	1992-09-25	S22138	1992 Sep 25 1758	Earth	1992 Sep 26 0216	DSO	D00707	JPL	US	GEEW	AS4000	R-4D-12 x4	    2565 	 	   1029 	 	    2565 	 	   3.5 	 	  2.2 	 	   15.0 	 	Box + 2 Pan + Ant	1992 Sep 25	     287	 	  -78711	 	 29.30 	 	EEO	-	-
22193	S22194	22194	1992-070A	PH H-S      	Columbia (STS-52)	OV-102	1992-10-22	A05237	1992 Oct 22 1718	Earth	1992 Nov  1 1405	L	KSC RW33	JSC	US	RWI	STS OV	-	   99952 	 	  91918 	 	  108489 	 	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	1992 Oct 24	     285	 	     293	 	 28.47 	 	LLEO/I	-	-
22258	S22259	22259	1992-086A	PH H-S      	Discovery (STS-53)	OV-103	1992-12-02	A05255	1992 Dec  2 1332	Earth	1992 Dec  9 2043	L	EAFB RW22	JSC	US	RWI	STS OV	-	   92838 	 	  85622 	 	  104657 	 	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	1992 Dec  4	     317	 	     331	 	 57.00 	 	LLEO/I	-	-
22312	S22313	22313	1993-003A	PH H-S      	Endeavour (STS-54)	OV-105	1993-01-13	A05278	1993 Jan 13 1408	Earth	1993 Jan 19 1337	L	KSC RW33	JSC	US	RWI	STS OV	-	   91651 	 	  85533 	 	  112644 	 	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	1993 Jan 15	     300	 	     308	 	 28.47 	 	LLEO/I	-	-
22313	S22314	22314	1993-003B	P ---S-     	TDRS-6	TDRS F	1993-01-13	S22316	1993 Jan 13 0306?	Earth	-	O	-	GSFC	US	TRW	TDRS	AOCS	    2534 	 	   1673 	?	    2534 	 	   1.3 	 	  2.4 	 	   17.4 	 	Box + Dish + 2 Pan	1993 Feb 15	   35778	 	   35794	 	  0.07 	 	GEO/S	-	-
22581	S22582	22582	1993-017B	P           	SEDS 1	SEDS 1 End Mass/Tether	1993-03-30	S22583	1993 Mar 30 0412	Earth	1993 Mar 30 0625	R	Baja	MSFC	US	TETHA	SEDS	-	      30 	 	     30 	 	      30 	 	   0.2 	 	  0.4 	 	19000.0 	 	Box + Tether	1993 Mar 30	     184	 	     719	 	 36.00 	 	LLEO/I	-	-
22620	S22621	22621	1993-023A	PH H-S      	Discovery (STS-56)	OV-103	1993-04-08	A05305	1993 Apr  8 0537	Earth	1993 Apr 17 1137	L	KSC RW33	JSC	US	RWI	STS OV	-	   94537 	 	  86550 	 	  102329 	 	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	1993 Apr 10	     292	 	     298	 	 57.00 	 	LLEO/I	-	-
22622	S22623	22623	1993-023B	P ---S-     	Spartan 201	Spartan 201	1993-04-08	S22621	1993 Apr 11 0536	Earth	1993 Apr 11 0536	ATT	A05312	GSFC	US	GSFC	SPTN-200	-	    1289 	 	   1289 	 	    1289 	 	   2.3 	 	  1.0 	 	    2.3 	 	Box + Cyl	1993 Apr 11	     292	 	     298	 	 57.00 	 	LLEO/I	-	-
22639	S22640	22640	1993-027A	PH H-S      	Columbia (STS-55)	OV-102	1993-04-26	A05320	1993 Apr 26 1458	Earth	1993 May  6 1430	L	EAFB RW22	JSC	US	RWI	STS OV	-	   99329 	 	  91642 	 	  110747 	 	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	1993 Apr 28	     295	 	     305	 	 28.46 	 	LLEO/I	-	-
22683	S22684	22684	1993-037A	PH H-S      	Endeavour (STS-57)	OV-105	1993-06-21	A05340	1993 Jun 21 1316	Earth	1993 Jul  1 1252	L	KSC RW33	JSC	US	RWI	STS OV	-	   99545 	 	  88594 	 	  108553 	 	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	1993 Jun 23	     409	 	     468	 	 28.46 	 	LLEO/I	-	-
22794	S22795	22795	1993-058A	PH H-S      	Discovery (STS-51)	OV-103	1993-09-12	A05367	1993 Sep 12 1153	Earth	1993 Sep 22 0756	L	KSC RW15	JSC	US	RWI	STS OV	-	   93890 	 	  86542 	 	  113408 	 	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	1993 Sep 14	     271	 	     307	 	 28.46 	 	LLEO/I	-	-
22795	S22796	22796	1993-058B	P ---S-     	ACTS	ACTS	1993-09-12	S22797	1993 Sep 12 2210?	Earth	-	O	-	LERC	US	MMAS	AS4000	-	    1688 	?	   1488 	?	    2770 	 	   9.0 	 	  4.3 	 	   14.4 	 	Box + 2 Pan	1993 Oct 14	   26536	 	   46531	 	  1.44 	 	GEO/NS	-	-
22868	S22869	22869	1993-065A	PH H-S      	Columbia (STS-58)	OV-102	1993-10-18	A05388	1993 Oct 18 1501	Earth	1993 Nov  1 1505	L	EAFB RW22	JSC	US	RWI	STS OV	-	   97642 	 	  92677 	 	  110067 	 	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	1993 Oct 20	     281	 	     289	 	 39.02 	 	LLEO/I	-	-
22916	S22917	22917	1993-075A	PH H-S      	Endeavour (STS-61)	OV-105	1993-12-02	A05406	1993 Dec  2 0935	Earth	1993 Dec 13 0525	L	KSC RW33	JSC	US	RWI	STS OV	-	   99758 	 	  88840 	 	  107531 	 	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	1993 Dec  4	     579	 	     592	 	 28.47 	 	LLEO/I	-	-
22976	S22977	22977	1994-006A	PH H-S      	Discovery (STS-60)	OV-103	1994-02-03	A05438	1994 Feb  3 1218	Earth	1994 Feb 11 1919	L	KSC RW15	JSC	US	RWI	STS OV	-	   95030 	 	  87541 	 	  105818 	 	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	1994 Feb  5	     346	 	     358	 	 56.99 	 	LLEO/I	-	-
22989	S22990	22990	1994-006B	P ---S-     	ODERACS A	ODERACS	1994-02-03	A05444	1994 Feb  9 1454	Earth	1994 Oct  2	R	-	JSC	US	JSC	ODERACS	-	       4 	 	      4 	 	       4 	 	   0.1 	 	  0.1 	 	    0.1 	 	Sphere	1994 Mar  5	     327	 	     350	 	 56.99 	 	LLEO/I	-	-
22990	S22991	22991	1994-006C	P ---S-     	ODERACS B	ODERACS	1994-02-03	A05444	1994 Feb  9 1454	Earth	1994 Oct  4	R	-	JSC	US	JSC	ODERACS	-	       4 	 	      4 	 	       4 	 	   0.1 	 	  0.1 	 	    0.1 	 	Sphere	1994 Mar  6	     328	 	     351	 	 56.99 	 	LLEO/I	-	-
22991	S22992	22992	1994-006D	P ---S-     	ODERACS C	ODERACS	1994-02-03	A05444	1994 Feb  9 1454	Earth	1995?	R	-	JSC	US	JSC	ODERACS	-	       1 	 	      1 	 	       1 	 	   0.1 	 	  0.1 	 	    0.1 	 	Sphere	1994 Feb 17	     329	 	     353	 	 56.99 	 	LLEO/I	-	-
22992	S22993	22993	1994-006E	P ---S-     	ODERACS D	ODERACS	1994-02-03	A05444	1994 Feb  9 1454	Earth	1995?	R	-	JSC	US	JSC	ODERACS	-	       1 	 	      1 	 	       1 	 	   0.1 	 	  0.1 	 	    0.1 	 	Sphere	1994 Feb 17	     329	 	     353	 	 56.99 	 	LLEO/I	-	-
22993	S22994	22994	1994-006F	P ---S-     	ODERACS E	ODERACS	1994-02-03	A05444	1994 Feb  9 1454	Earth	1995 Mar  3	R	-	JSC	US	JSC	ODERACS	-	       5 	 	      5 	 	       5 	 	   0.2 	 	  0.2 	 	    0.2 	 	Sphere	1994 Mar  7	     334	 	     354	 	 56.99 	 	LLEO/I	-	-
22994	S22995	22995	1994-006G	P ---S-     	ODERACS F	ODERACS	1994-02-03	A05444	1994 Feb  9 1454	Earth	1995 Feb 24	R	-	JSC	US	JSC	ODERACS	-	       5 	 	      5 	 	       5 	 	   0.2 	 	  0.2 	 	    0.2 	 	Sphere	1994 Mar  7	     334	 	     355	 	 56.99 	 	LLEO/I	-	-
23024	S23025	23025	1994-015A	PH H-S      	Columbia (STS-62)	OV-102	1994-03-04	A05456	1994 Mar  4 1401	Earth	1994 Mar 18 1309	L	KSC RW33	JSC	US	RWI	STS OV	-	   99077 	 	  92840 	 	  111337 	 	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	1994 Mar  6	     296	 	     305	 	 39.01 	 	LLEO/I	-	-
23041	S23042	23042	1994-020A	PH H-S      	Endeavour (STS-59)	OV-105	1994-04-09	A05477	1994 Apr  9 1113	Earth	1994 Apr 20 1654	L	EAFB RW22	JSC	US	RWI	STS OV	-	   95056 	 	  88169 	 	  105723 	 	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	1994 Apr 11	     211	 	     226	 	 56.99 	 	LLEO/I	-	-
23172	S23173	23173	1994-039A	PH H-S      	Columbia (STS-65)	OV-102	1994-07-08	A05498	1994 Jul  8 1651	Earth	1994 Jul 23 1038	L	KSC RW33	JSC	US	RWI	STS OV	-	   99801 	 	  92430 	 	  112930 	 	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	1994 Jul 15	     298	 	     302	 	 28.47 	 	LLEO/I	-	-
23250	S23251	23251	1994-059A	PH H-S      	Discovery (STS-64)	OV-103	1994-09-09	A05522	1994 Sep  9 2231	Earth	1994 Sep 20 2112	L	EAFB RW04	JSC	US	RWI	STS OV	-	   95457 	 	  87018 	 	  104663 	 	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	1994 Sep 11	     253	 	     265	 	 57.01 	 	LLEO/I	-	-
23252	S23253	23253	1994-059B	P ---S-     	Spartan 201	Spartan 201	1994-09-09	A05530	1994 Sep 13 2048	Earth	1994 Sep 13 2048	ATT	A05533	GSFC	US	GSFC	SPTN-200	-	    1288 	 	   1288 	 	    1288 	 	   2.3 	 	  1.0 	 	    2.3 	 	Box + Cyl	1994 Sep 13	     252	 	     265	 	 57.00 	 	LLEO/I	-	-
23284	S23285	23285	1994-062A	PH H-S      	Endeavour (STS-68)	OV-105	1994-09-30	A05543	1994 Sep 30 1124	Earth	1994 Oct 11 1702	L	EAFB RW22	JSC	US	RWI	STS OV	-	   95711 	 	  88422 	 	  107838 	 	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	1994 Oct  2	     212	 	     224	 	 57.01 	 	LLEO/I	-	-
23332	S23333	23333	1994-071A	P   D       	Wind	WIND	1994-11-01	S23350	1994 Nov  1 1052	Earth	1994 Nov  2 0124	DSO	D00710	GSFC	US	MMAS	Wind	MR-50 x 8	    1195 	 	    895 	 	    1195 	 	   1.8 	 	  2.4 	 	  100.0 	 	Cyl + 2 Ant	1994 Nov  1	     186	 	  470310	 	 28.75 	 	CLO	-	-
